Date Local,State,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
1,Alabama,21.0,21.0,3.0,3.0
1,Alaska,42.65217391304348,9.173913043478262,29.17391304347826,14.333333333333334
1,Arizona,32.63333333333333,26.18888888888889,2.6777777777777776,10.033333333333333
1,Arkansas,25.387096774193548,25.870967741935484,1.5483870967741935,5.225806451612903
1,California,26.530529172320218,23.119402985074625,1.317503392130258,9.05291723202171
1,Colorado,44.354838709677416,23.655913978494624,4.247311827956989,8.817204301075268
1,Connecticut,17.82758620689655,31.017241379310345,2.0344827586206895,3.1379310344827585
1,Delaware,29.444444444444443,24.555555555555557,3.4444444444444446,5.555555555555555
1,District Of Columbia,31.741935483870968,21.29032258064516,5.064516129032258,6.225806451612903
1,Florida,12.193548387096774,31.032258064516128,0.5161290322580645,7.225806451612903
1,Georgia,27.73076923076923,22.423076923076923,0.9230769230769231,6.0
1,Hawaii,14.516129032258064,31.129032258064516,7.483870967741935,4.129032258064516
1,Illinois,22.516129032258064,21.322580645161292,6.516129032258065,4.838709677419355
1,Indiana,28.928571428571427,26.5,13.571428571428571,5.285714285714286
1,Iowa,18.322580645161292,23.370967741935484,2.3548387096774195,3.3225806451612905
1,Kansas,26.06451612903226,23.967741935483872,8.548387096774194,5.290322580645161
1,Kentucky,12.2,21.0,7.8,3.0
1,Louisiana,22.612903225806452,27.548387096774192,8.935483870967742,4.161290322580645
1,Maine,15.193548387096774,29.580645161290324,2.903225806451613,4.290322580645161
1,Maryland,18.978494623655912,27.13978494623656,5.150537634408602,4.086021505376344
1,Minnesota,23.64516129032258,27.129032258064516,1.5161290322580645,4.32258064516129
1,Missouri,23.419354838709676,21.580645161290324,8.838709677419354,4.67741935483871
1,Nevada,36.483870967741936,18.838709677419356,3.096774193548387,9.258064516129032
1,New Hampshire,9.870967741935484,34.32258064516129,3.2580645161290325,2.5483870967741935
1,New Jersey,30.274193548387096,21.870967741935484,2.8548387096774195,5.274193548387097
1,New Mexico,30.333333333333332,24.40740740740741,2.111111111111111,6.481481481481482
1,New York,30.29032258064516,21.596774193548388,5.548387096774194,5.435483870967742
1,North Carolina,21.633333333333333,27.216666666666665,1.2333333333333334,5.35
1,North Dakota,10.387096774193548,25.741935483870968,0.16129032258064516,1.967741935483871
1,Ohio,22.49462365591398,23.49462365591398,14.408602150537634,3.967741935483871
1,Oklahoma,20.596774193548388,27.612903225806452,1.1451612903225807,5.048387096774194
1,Oregon,16.419354838709676,12.806451612903226,2.3225806451612905,7.354838709677419
1,Pennsylvania,19.472,27.76,8.856,4.28
1,Rhode Island,22.548387096774192,29.64516129032258,2.161290322580645,3.935483870967742
1,South Dakota,14.580645161290322,13.548387096774194,0.45161290322580644,3.6774193548387095
1,Texas,24.241830065359476,24.215686274509803,1.7908496732026145,5.124183006535947
1,Utah,41.87096774193548,15.129032258064516,1.3548387096774193,12.419354838709678
1,Virginia,21.258064516129032,24.516129032258064,2.6129032258064515,4.903225806451613
1,Wyoming,10.258064516129032,38.306451612903224,0.16129032258064516,0.5161290322580645
2,Alaska,39.833333333333336,10.125,31.375,13.958333333333334
2,Arizona,34.68674698795181,35.81927710843374,2.216867469879518,8.783132530120483
2,Arkansas,19.535714285714285,29.107142857142858,1.4285714285714286,3.9642857142857144
2,California,23.573292402148887,33.57712970069071,1.901840490797546,6.937068303914044
2,Colorado,41.34722222222222,26.958333333333332,3.6527777777777777,6.847222222222222
2,Connecticut,23.25,33.875,2.3035714285714284,4.071428571428571
2,Delaware,34.0,27.0,7.0,6.0
2,District Of Columbia,32.074074074074076,26.74074074074074,7.555555555555555,5.407407407407407
2,Florida,11.178571428571429,36.17857142857143,0.39285714285714285,4.785714285714286
2,Georgia,27.142857142857142,26.214285714285715,1.1071428571428572,5.357142857142857
2,Hawaii,11.892857142857142,33.714285714285715,5.928571428571429,3.5714285714285716
2,Illinois,21.142857142857142,28.892857142857142,4.464285714285714,3.0357142857142856
2,Indiana,30.745098039215687,29.745098039215687,14.686274509803921,3.96
2,Iowa,19.392857142857142,31.892857142857142,2.75,3.357142857142857
2,Kansas,26.571428571428573,28.071428571428573,13.178571428571429,4.892857142857143
2,Louisiana,23.428571428571427,31.178571428571427,8.464285714285714,3.3214285714285716
2,Maine,19.589285714285715,30.428571428571427,3.6785714285714284,4.321428571428571
2,Maryland,20.44736842105263,32.89473684210526,6.578947368421052,4.157894736842105
2,Massachusetts,34.875,23.958333333333332,4.458333333333333,5.25
2,Minnesota,17.48,30.36,0.92,4.32
2,Missouri,23.0,27.642857142857142,6.892857142857143,3.607142857142857
2,Nevada,32.214285714285715,30.178571428571427,1.4642857142857142,5.928571428571429
2,New Hampshire,10.909090909090908,36.22727272727273,3.3181818181818183,2.6818181818181817
2,New Jersey,36.714285714285715,25.839285714285715,3.25,6.160714285714286
2,New Mexico,28.107142857142858,31.142857142857142,2.0714285714285716,4.857142857142857
2,New York,38.80357142857143,24.625,7.464285714285714,5.785714285714286
2,North Carolina,19.727272727272727,33.29090909090909,2.1272727272727274,4.290909090909091
2,North Dakota,12.107142857142858,29.428571428571427,0.25,2.142857142857143
2,Ohio,26.916666666666668,27.785714285714285,18.714285714285715,4.107142857142857
2,Oklahoma,19.272727272727273,30.854545454545455,1.509090909090909,3.8545454545454545
2,Oregon,19.642857142857142,21.785714285714285,2.0,6.607142857142857
2,Pennsylvania,22.764285714285716,32.042857142857144,11.957142857142857,3.9357142857142855
2,Rhode Island,27.678571428571427,32.107142857142854,3.9285714285714284,4.928571428571429
